+----------------------+------+--------+--------+-----------+
|      series id       | year | period | value  | footnotes |
+----------------------+------+--------+--------+-----------+
| LAUMT097195000000005 | 2009 |  M12   | 425277 |           |
| LAUMT097195000000005 | 2009 |  M11   | 427299 |           |
| LAUMT097195000000005 | 2009 |  M10   | 426289 |           |
| LAUMT097195000000005 | 2009 |  M09   | 425760 |           |
| LAUMT097195000000005 | 2009 |  M08   | 434718 |           |
| LAUMT097195000000005 | 2009 |  M07   | 438888 |           |
| LAUMT097195000000005 | 2009 |  M06   | 433304 |           |
| LAUMT097195000000005 | 2009 |  M05   | 428908 |           |
| LAUMT097195000000005 | 2009 |  M04   | 425586 |           |
| LAUMT097195000000005 | 2009 |  M03   | 426829 |           |
| LAUMT097195000000005 | 2009 |  M02   | 424945 |           |
| LAUMT097195000000005 | 2009 |  M01   | 427935 |           |
| LAUMT097195000000005 | 2008 |  M12   | 435699 |           |
| LAUMT097195000000005 | 2008 |  M11   | 437021 |           |
| LAUMT097195000000005 | 2008 |  M10   | 437706 |           |
| LAUMT097195000000005 | 2008 |  M09   | 435731 |           |
| LAUMT097195000000005 | 2008 |  M08   | 443138 |           |
| LAUMT097195000000005 | 2008 |  M07   | 448406 |           |
| LAUMT097195000000005 | 2008 |  M06   | 443922 |           |
| LAUMT097195000000005 | 2008 |  M05   | 439275 |           |
| LAUMT097195000000005 | 2008 |  M04   | 436455 |           |
| LAUMT097195000000005 | 2008 |  M03   | 435453 |           |
| LAUMT097195000000005 | 2008 |  M02   | 432435 |           |
| LAUMT097195000000005 | 2008 |  M01   | 434745 |           |
+----------------------+------+--------+--------+-----------+
