Code,Subject,Value
HC01_EST_VC02,Total; Estimate; Population 18 to 24 years,356553
HC01_MOE_VC02,Total; Margin of Error; Population 18 to 24 years,2070
HC02_EST_VC02,Percent; Estimate; Population 18 to 24 years,(X)
HC02_MOE_VC02,Percent; Margin of Error; Population 18 to 24 years,(X)
HC03_EST_VC02,Males; Estimate; Population 18 to 24 years,184914
HC03_MOE_VC02,Males; Margin of Error; Population 18 to 24 years,1781
HC04_EST_VC02,Percent Males; Estimate; Population 18 to 24 years,(X)
HC04_MOE_VC02,Percent Males; Margin of Error; Population 18 to 24 years,(X)
HC05_EST_VC02,Females; Estimate; Population 18 to 24 years,171639
HC05_MOE_VC02,Females; Margin of Error; Population 18 to 24 years,1385
HC06_EST_VC02,Percent Females; Estimate; Population 18 to 24 years,(X)
HC06_MOE_VC02,Percent Females; Margin of Error; Population 18 to 24 years,(X)
HC01_EST_VC03,Total; Estimate; Population 18 to 24 years - Less than high school graduate,33601
HC01_MOE_VC03,Total; Margin of Error; Population 18 to 24 years - Less than high school graduate,3234
HC02_EST_VC03,Percent; Estimate; Population 18 to 24 years - Less than high school graduate,9.4
HC02_MOE_VC03,Percent; Margin of Error; Population 18 to 24 years - Less than high school graduate,0.9
HC03_EST_VC03,Males; Estimate; Population 18 to 24 years - Less than high school graduate,19322
HC03_MOE_VC03,Males; Margin of Error; Population 18 to 24 years - Less than high school graduate,2059
HC04_EST_VC03,Percent Males; Estimate; Population 18 to 24 years - Less than high school graduate,10.4
HC04_MOE_VC03,Percent Males; Margin of Error; Population 18 to 24 years - Less than high school graduate,1.1
HC05_EST_VC03,Females; Estimate; Population 18 to 24 years - Less than high school graduate,14279
HC05_MOE_VC03,Females; Margin of Error; Population 18 to 24 years - Less than high school graduate,2132
HC06_EST_VC03,Percent Females; Estimate; Population 18 to 24 years - Less than high school graduate,8.3
HC06_MOE_VC03,Percent Females; Margin of Error; Population 18 to 24 years - Less than high school graduate,1.2
HC01_EST_VC04,Total; Estimate; Population 18 to 24 years - High school graduate (includes equivalency),105267
HC01_MOE_VC04,Total; Margin of Error; Population 18 to 24 years - High school graduate (includes equivalency),5561
HC02_EST_VC04,Percent; Estimate; Population 18 to 24 years - High school graduate (includes equivalency),29.5
HC02_MOE_VC04,Percent; Margin of Error; Population 18 to 24 years - High school graduate (includes equivalency),1.6
HC03_EST_VC04,Males; Estimate; Population 18 to 24 years - High school graduate (includes equivalency),61850
HC03_MOE_VC04,Males; Margin of Error; Population 18 to 24 years - High school graduate (includes equivalency),3778
HC04_EST_VC04,Percent Males; Estimate; Population 18 to 24 years - High school graduate (includes equivalency),33.4
HC04_MOE_VC04,Percent Males; Margin of Error; Population 18 to 24 years - High school graduate (includes equivalency),2
HC05_EST_VC04,Females; Estimate; Population 18 to 24 years - High school graduate (includes equivalency),43417
HC05_MOE_VC04,Females; Margin of Error; Population 18 to 24 years - High school graduate (includes equivalency),3149
HC06_EST_VC04,Percent Females; Estimate; Population 18 to 24 years - High school graduate (includes equivalency),25.3
HC06_MOE_VC04,Percent Females; Margin of Error; Population 18 to 24 years - High school graduate (includes equivalency),1.8
HC01_EST_VC05,Total; Estimate; Population 18 to 24 years - Some college or associate's degree,162400
HC01_MOE_VC05,Total; Margin of Error; Population 18 to 24 years - Some college or associate's degree,5532
HC02_EST_VC05,Percent; Estimate; Population 18 to 24 years - Some college or associate's degree,45.5
HC02_MOE_VC05,Percent; Margin of Error; Population 18 to 24 years - Some college or associate's degree,1.5
HC03_EST_VC05,Males; Estimate; Population 18 to 24 years - Some college or associate's degree,76383
HC03_MOE_VC05,Males; Margin of Error; Population 18 to 24 years - Some college or associate's degree,4267
HC04_EST_VC05,Percent Males; Estimate; Population 18 to 24 years - Some college or associate's degree,41.3
HC04_MOE_VC05,Percent Males; Margin of Error; Population 18 to 24 years - Some college or associate's degree,2.2
HC05_EST_VC05,Females; Estimate; Population 18 to 24 years - Some college or associate's degree,86017
HC05_MOE_VC05,Females; Margin of Error; Population 18 to 24 years - Some college or associate's degree,3904
HC06_EST_VC05,Percent Females; Estimate; Population 18 to 24 years - Some college or associate's degree,50.1
HC06_MOE_VC05,Percent Females; Margin of Error; Population 18 to 24 years - Some college or associate's degree,2.3
HC01_EST_VC06,Total; Estimate; Population 18 to 24 years - Bachelor's degree or higher,55285
HC01_MOE_VC06,Total; Margin of Error; Population 18 to 24 years - Bachelor's degree or higher,4136
HC02_EST_VC06,Percent; Estimate; Population 18 to 24 years - Bachelor's degree or higher,15.5
HC02_MOE_VC06,Percent; Margin of Error; Population 18 to 24 years - Bachelor's degree or higher,1.2
HC03_EST_VC06,Males; Estimate; Population 18 to 24 years - Bachelor's degree or higher,27359
HC03_MOE_VC06,Males; Margin of Error; Population 18 to 24 years - Bachelor's degree or higher,2856
HC04_EST_VC06,Percent Males; Estimate; Population 18 to 24 years - Bachelor's degree or higher,14.8
HC04_MOE_VC06,Percent Males; Margin of Error; Population 18 to 24 years - Bachelor's degree or higher,1.6
HC05_EST_VC06,Females; Estimate; Population 18 to 24 years - Bachelor's degree or higher,27926
HC05_MOE_VC06,Females; Margin of Error; Population 18 to 24 years - Bachelor's degree or higher,2583
HC06_EST_VC06,Percent Females; Estimate; Population 18 to 24 years - Bachelor's degree or higher,16.3
HC06_MOE_VC06,Percent Females; Margin of Error; Population 18 to 24 years - Bachelor's degree or higher,1.5
HC01_EST_VC08,Total; Estimate; Population 25 years and over,2467737
HC01_MOE_VC08,Total; Margin of Error; Population 25 years and over,2128
HC02_EST_VC08,Percent; Estimate; Population 25 years and over,(X)
HC02_MOE_VC08,Percent; Margin of Error; Population 25 years and over,(X)
HC03_EST_VC08,Males; Estimate; Population 25 years and over,1175476
HC03_MOE_VC08,Males; Margin of Error; Population 25 years and over,1731
HC04_EST_VC08,Percent Males; Estimate; Population 25 years and over,(X)
HC04_MOE_VC08,Percent Males; Margin of Error; Population 25 years and over,(X)
HC05_EST_VC08,Females; Estimate; Population 25 years and over,1292261
HC05_MOE_VC08,Females; Margin of Error; Population 25 years and over,1878
HC06_EST_VC08,Percent Females; Estimate; Population 25 years and over,(X)
HC06_MOE_VC08,Percent Females; Margin of Error; Population 25 years and over,(X)
HC01_EST_VC09,Total; Estimate; Population 25 years and over - Less than 9th grade,100513
HC01_MOE_VC09,Total; Margin of Error; Population 25 years and over - Less than 9th grade,5016
HC02_EST_VC09,Percent; Estimate; Population 25 years and over - Less than 9th grade,4.1
HC02_MOE_VC09,Percent; Margin of Error; Population 25 years and over - Less than 9th grade,0.2
HC03_EST_VC09,Males; Estimate; Population 25 years and over - Less than 9th grade,47363
HC03_MOE_VC09,Males; Margin of Error; Population 25 years and over - Less than 9th grade,3336
HC04_EST_VC09,Percent Males; Estimate; Population 25 years and over - Less than 9th grade,4
HC04_MOE_VC09,Percent Males; Margin of Error; Population 25 years and over - Less than 9th grade,0.3
HC05_EST_VC09,Females; Estimate; Population 25 years and over - Less than 9th grade,53150
HC05_MOE_VC09,Females; Margin of Error; Population 25 years and over - Less than 9th grade,3428
HC06_EST_VC09,Percent Females; Estimate; Population 25 years and over - Less than 9th grade,4.1
HC06_MOE_VC09,Percent Females; Margin of Error; Population 25 years and over - Less than 9th grade,0.3
HC01_EST_VC10,"Total; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",133422
HC01_MOE_VC10,"Total; Margin of Error; Population 25 years and over - 9th to 12th grade, no diploma",5788
HC02_EST_VC10,"Percent; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",5.4
HC02_MOE_VC10,"Percent; Margin of Error; Population 25 years and over - 9th to 12th grade, no diploma",0.2
HC03_EST_VC10,"Males; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",67590
HC03_MOE_VC10,"Males; Margin of Error; Population 25 years and over - 9th to 12th grade, no diploma",3957
HC04_EST_VC10,"Percent Males; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",5.8
HC04_MOE_VC10,"Percent Males; Margin of Error; Population 25 years and over - 9th to 12th grade, no diploma",0.3
HC05_EST_VC10,"Females; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",65832
HC05_MOE_VC10,"Females; Margin of Error; Population 25 years and over - 9th to 12th grade, no diploma",4215
HC06_EST_VC10,"Percent Females; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",5.1
HC06_MOE_VC10,"Percent Females; Margin of Error; Population 25 years and over - 9th to 12th grade, no diploma",0.3
HC01_EST_VC11,Total; Estimate; Population 25 years and over - High school graduate (includes equivalency),678776
HC01_MOE_VC11,Total; Margin of Error; Population 25 years and over - High school graduate (includes equivalency),12855
HC02_EST_VC11,Percent; Estimate; Population 25 years and over - High school graduate (includes equivalency),27.5
HC02_MOE_VC11,Percent; Margin of Error; Population 25 years and over - High school graduate (includes equivalency),0.5
HC03_EST_VC11,Males; Estimate; Population 25 years and over - High school graduate (includes equivalency),341415
HC03_MOE_VC11,Males; Margin of Error; Population 25 years and over - High school graduate (includes equivalency),7900
HC04_EST_VC11,Percent Males; Estimate; Population 25 years and over - High school graduate (includes equivalency),29
HC04_MOE_VC11,Percent Males; Margin of Error; Population 25 years and over - High school graduate (includes equivalency),0.7
HC05_EST_VC11,Females; Estimate; Population 25 years and over - High school graduate (includes equivalency),337361
HC05_MOE_VC11,Females; Margin of Error; Population 25 years and over - High school graduate (includes equivalency),8153
HC06_EST_VC11,Percent Females; Estimate; Population 25 years and over - High school graduate (includes equivalency),26.1
HC06_MOE_VC11,Percent Females; Margin of Error; Population 25 years and over - High school graduate (includes equivalency),0.6
