ID,Pharmacy-Name,Phone,Credential,CredentialId,Location,Address,City,State,Concat,Zip,Found,Coordinates,Lats,Long,County,Color,Size,Label,cluster
1,CVS PHARMACY #388,(203) 245-3165,PCY.0001188,"38,220","613 BOSTON POST RD &amp; ROUTE
CT 06443-3080
",613 BOSTON POST RD & ROUTE 79,MADISON,CT,"613 BOSTON POST RD & ROUTE 79, MADISON, CT",06443-3080,Match,"-72.59795,41.27937",-72.59795,41.27937,New Haven County,Green,Tiny,E,5
2,RITE AID  #10356,(860) 848-7979,PCY.0001257,"38,434","601 ROUTE
STE F, CT 06382-2104
",601 ROUTE 32 STE F,UNCASVILLE,CT,"601 ROUTE 32 STE F, UNCASVILLE, CT",06382-2104,Match,"-72.104866,41.442726",-72.104866,41.442726,New London County,Black,Mid,F,6
3,STOP & SHOP PHARMACY #682,(860) 445-8807,PCY.0001297,"38,451","220 ROUTE CT 06340
",220 ROUTE 12,GROTON,CT,"220 ROUTE 12, GROTON, CT",6340,Match,"-72.071,41.369747",-72.071,41.369747,New London County,Black,Mid,F,6
8,CANDLEWOOD DRUGS,203-312-9999,PCY.0002167,"919,983","11 ROUTE
CT 06812-4615
",11 ROUTE 37,NEW FAIRFIELD,CT,"11 ROUTE 37, NEW FAIRFIELD, CT",06812-4615,Match,"-73.483986,41.465702",-73.483986,41.465702,Fairfield,Red,Tiny,A,1
11,DANBURY PHARMACY LLC,203-679-9999,PCY.0002371,"1,496,749","35 WHITE STREET
CT 06810
(41.396599, -73.453173)",35 WHITE STREET,DANBURY,CT,"35 WHITE STREET, DANBURY, CT",6810,Match,"-73.4539,41.39639",-73.4539,41.39639,Fairfield,Red,Tiny,A,1
12,CVS PHARMACY # 11007,(203) 498-9442,PCY.0002352,"1,408,430","123 CHURCH ST
CT 06510-2001
(41.306238, -72.925632)",123 CHURCH ST,NEW HAVEN,CT,"123 CHURCH ST, NEW HAVEN, CT",06510-2001,Match,"-72.92561,41.306236",-72.92561,41.306236,New Haven County,Green,Tiny,E,5
13,PLAINVILLE COMMUNITY PHARMACY,(860) 222-9422,PCY.0002355,"1,417,364","170 EAST ST
CT 06062-2913
(41.66387, -72.863749)",170 EAST ST,PLAINVILLE,CT,"170 EAST ST, PLAINVILLE, CT",06062-2913,Match,"-72.86365,41.66411",-72.86365,41.66411,Hartford County,Orange,Tiny,B,2
14,HARTFORD PHARMACY III,(860) 422-8888,PCY.0002350,"1,397,349","33 NEW BRITAIN AVE
CT 06106-3306
(41.746708, -72.684414)",33 NEW BRITAIN AVE,HARTFORD,CT,"33 NEW BRITAIN AVE, HARTFORD, CT",06106-3306,Match,"-72.68431,41.746773",-72.68431,41.746773,Hartford County,Orange,Tiny,B,2
15,HARTFORD PHARMACY II,(860) 244-2222,PCY.0002349,"1,397,348","57 PARK ST
CT 06106-2520
(41.757267, -72.677042)",57 PARK ST,HARTFORD,CT,"57 PARK ST, HARTFORD, CT",06106-2520,Match,"-72.67689,41.75722",-72.67689,41.75722,Hartford County,Orange,Tiny,B,2
16,WALGREENS #07935,(203) 795-6001,PCY.0001073,"246,825","54 BOSTON POST RD
CT 06477-3201
(41.278531, -72.987199)",54 BOSTON POST RD,ORANGE,CT,"54 BOSTON POST RD, ORANGE, CT",06477-3201,Match,"-72.989494,41.27665",-72.989494,41.27665,New Haven County,Green,Tiny,E,5
17,STOP & SHOP PHARMACY #684,860-620-9060,PCY.0001487,"39,106","505 N MAIN ST
CT 06489-2051
(41.614257, -72.873858)",505 N MAIN ST,SOUTHINGTON,CT,"505 N MAIN ST, SOUTHINGTON, CT",06489-2051,Match,"-72.88405,41.591293",-72.88405,41.591293,Hartford County,Orange,Tiny,B,2
18,WALGREENS #11825,(860) 583-3638,PCY.0001251,"283,354","525 FARMINGTON AVE
CT 06010-3931
(41.689947, -72.926047)",525 FARMINGTON AVE,BRISTOL,CT,"525 FARMINGTON AVE, BRISTOL, CT",06010-3931,Match,"-72.92612,41.68992",-72.92612,41.68992,Hartford County,Orange,Tiny,B,2
19,RITE AID  #10348,(860) 666-4079,PCY.0001818,"319,294","40 CEDAR ST
CT 06111-2613
(41.697882, -72.725365)",40 CEDAR ST,NEWINGTON,CT,"40 CEDAR ST, NEWINGTON, CT",06111-2613,Match,"-72.72789,41.69759",-72.72789,41.69759,Hartford County,Orange,Tiny,B,2
20,CVS PHARMACY #2220,(860) 742-3543,PCY.0001837,"342,537","3514 MAIN ST
CT 06238-1551
(41.796848, -72.369144)",3514 MAIN ST,COVENTRY,CT,"3514 MAIN ST, COVENTRY, CT",06238-1551,Match,"-72.369156,41.796852",-72.369156,41.796852,Tolland County,Red,Mid,G,7
21,WALGREENS #07047,(860) 667-0461,PCY.0002012,"414,149","2920 BERLIN TPKE
CT 06111-4116
(41.669193, -72.718035)",2920 BERLIN TPKE,NEWINGTON,CT,"2920 BERLIN TPKE, NEWINGTON, CT",06111-4116,Match,"-72.71922,41.66707",-72.71922,41.66707,Hartford County,Orange,Tiny,B,2
25,BEACON PRESCRIPTIONS #3,(860) 589-5587,PCY.0001016,"37,800","25 COLLINS RD
CT 06010-3893
(41.694697, -72.913212)",25 COLLINS RD,BRISTOL,CT,"25 COLLINS RD, BRISTOL, CT",06010-3893,Match,"-72.913155,41.694874",-72.913155,41.694874,Hartford County,Orange,Tiny,B,2
26,WAL-MART PHARMACY #10-2022,(860) 456-2126,PCY.0001498,"39,110","474 BOSTON POST ROAD
CT 06256
(41.745257, -72.169048)",474 BOSTON POST ROAD,NORTH WINDHAM,CT,"474 BOSTON POST ROAD, NORTH WINDHAM, CT",6256,Match,"-72.168,41.74574",-72.168,41.74574,Windham County,Grey,Big,L,8
27,CVS PHARMACY #1166,(860) 298-5925,PCY.0001685,"129,824","219 BROAD ST
CT 06095-2904
(41.851697, -72.643576)",219 BROAD ST,WINDSOR,CT,"219 BROAD ST, WINDSOR, CT",06095-2904,Match,"-72.64498,41.849007",-72.64498,41.849007,Hartford County,Orange,Tiny,B,2
28,STOP & SHOP PHARMACY #648,(203) 389-8863,PCY.0001470,"39,098","112 AMITY RD
CT 06515-1405
(41.338079, -72.979877)",112 AMITY RD,NEW HAVEN,CT,"112 AMITY RD, NEW HAVEN, CT",06515-1405,Match,"-72.98008,41.338303",-72.98008,41.338303,New Haven County,Green,Tiny,E,5
29,EAST ROCK PHARMACY,203-691-5405,PCY.0002218,"1,025,321","767 ORANGE ST
CT 06511-2534
(41.321335, -72.912262)",767 ORANGE ST,NEW HAVEN,CT,"767 ORANGE ST, NEW HAVEN, CT",06511-2534,Match,"-72.9123,41.321312",-72.9123,41.321312,New Haven County,Green,Tiny,E,5
30,CVS/PHARMACY #17373,(860) 618-4008,PCY.0002099,"480,423","1922 E MAIN ST
CT 06790-3101
(41.821044, -73.075874)",1922 E MAIN ST,TORRINGTON,CT,"1922 E MAIN ST, TORRINGTON, CT",06790-3101,Match,"-73.08068,41.82101",-73.08068,41.82101,Litchfield County,Blue,Mid,C,3
31,BIG Y PHARMACY #87,(203) 484-9530,PCY.0002102,"488,181","1289 FOXON RD
CT 06471-1289
(41.326872, -72.779944)",1289 FOXON RD,NORTH BRANFORD,CT,"1289 FOXON RD, NORTH BRANFORD, CT",06471-1289,Match,"-72.77797,41.32625",-72.77797,41.32625,New Haven County,Green,Tiny,E,5
32,RITE AID  #10345,(860) 623-3327,PCY.0001458,"38,905","74 BRIDGE ST
CT 06088-9679
(41.929499, -72.616514)",74 BRIDGE ST,EAST WINDSOR,CT,"74 BRIDGE ST, EAST WINDSOR, CT",06088-9679,Match,"-72.618034,41.929337",-72.618034,41.929337,Hartford County,Orange,Tiny,B,2
33,WALGREENS #11919,(860) 742-5389,PCY.0002148,"894,719","1630 BOSTON TPKE
CT 06238-1205
(41.798323, -72.371276)",1630 BOSTON TPKE,COVENTRY,CT,"1630 BOSTON TPKE, COVENTRY, CT",06238-1205,Match,"-72.370415,41.798344",-72.370415,41.798344,Tolland County,Red,Mid,G,7
34,PETRICONE'S TORRINGTON PHARMACY,(860) 489-5511,PCY.0000773,"37,561","110 E MAIN ST
CT 06790-5429
(41.802021, -73.118856)",110 E MAIN ST,TORRINGTON,CT,"110 E MAIN ST, TORRINGTON, CT",06790-5429,Match,"-73.12141,41.80253",-73.12141,41.80253,Litchfield County,Blue,Mid,C,3
35,STOP & SHOP PHARMACY #632,(860) 563-4462,PCY.0001307,"38,456","80 TOWN LINE ROAD
CT 06067
(41.682422, -72.657347)",80 TOWN LINE ROAD,ROCKY HILL,CT,"80 TOWN LINE ROAD, ROCKY HILL, CT",6067,Match,"-72.658066,41.682217",-72.658066,41.682217,Hartford County,Orange,Tiny,B,2
36,SEYBRIDGE PHARMACY INC,203-888-0073,PCY.0001292,"38,450","37 NEW HAVEN RD
CT 06483-3460
(41.397087, -73.062539)",37 NEW HAVEN RD,SEYMOUR,CT,"37 NEW HAVEN RD, SEYMOUR, CT",06483-3460,Match,"-73.06294,41.397186",-73.06294,41.397186,New Haven County,Green,Tiny,E,5
37,MEDICINE SHOPPE (THE),,PCY.0000793,"37,563","79 EAST ST
CT 06066-3845
(41.86066, -72.431716)",79 EAST ST,VERNON ROCKVILLE,CT,"79 EAST ST, VERNON ROCKVILLE, CT",06066-3845,Match,"-72.431885,41.862827",-72.431885,41.862827,Tolland County,Red,Mid,G,7
38,CVS PHARMACY #1149,(203) 866-0949,PCY.0001370,"38,671","696 WEST AVE
CT 06850-3302
(41.11512, -73.415068)",696 WEST AVE,NORWALK,CT,"696 WEST AVE, NORWALK, CT",06850-3302,Match,"-73.415,41.1155",-73.415,41.1155,Fairfield,Red,Tiny,A,1
39,WAL-MART PHARMACY #10-2854,(860) 376-0132,PCY.0001783,"281,574","180 RIVER RD
CT 06351-3249
(41.584562, -71.994576)",180 RIVER RD,LISBON,CT,"180 RIVER RD, LISBON, CT",06351-3249,Match,"-71.99501,41.58425",-71.99501,41.58425,New London County,Black,Mid,F,6
40,RITE AID  #3440,(203) 838-6141,PCY.0001488,"317,813","190 EAST AVE
CT 06855-1112
(41.107181, -73.405508)",190 EAST AVE,NORWALK,CT,"190 EAST AVE, NORWALK, CT",06855-1112,Match,"-73.40567,41.10761",-73.40567,41.10761,Fairfield,Red,Tiny,A,1
